LAT,LON,YEAR,MO,DY,T2M_RANGE,TS,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M,WS50M_RANGE,WS10M_RANGE,WS50M_MIN,WS10M_MIN,WS50M_MAX,WS10M_MAX,WS50M,WS10M
32.89941,13.20261,2015,01,01,    5.94,   11.20,    5.05,    5.06,   11.70,    5.75,    8.74,    7.53,    6.73,    7.51,    6.17,   15.04,   12.90,   10.59,    8.77
32.89941,13.20261,2015,01,02,    2.42,   13.34,    7.09,    7.10,   13.74,   11.31,   12.14,    3.40,    2.80,    7.84,    5.76,   11.24,    8.57,    9.42,    7.46
32.89941,13.20261,2015,01,03,    3.90,   13.39,    8.12,    8.12,   14.58,   10.68,   12.62,    1.66,    1.34,    7.24,    5.35,    8.90,    6.69,    8.13,    6.19
32.89941,13.20261,2015,01,04,    7.52,   12.98,    5.82,    5.84,   15.92,    8.40,   11.94,    4.28,    3.92,    8.19,    6.49,   12.47,   10.41,   10.89,    8.92
32.89941,13.20261,2015,01,05,    6.39,   13.53,    8.51,    8.51,   16.40,   10.00,   12.98,    3.23,    3.45,    8.23,    5.98,   11.46,    9.43,    9.87,    7.78
32.89941,13.20261,2015,01,06,    5.86,   12.56,    5.22,    5.23,   15.33,    9.47,   11.90,    4.37,    2.54,    4.38,    3.42,    8.75,    5.96,    6.48,    4.83
32.89941,13.20261,2015,01,07,    7.29,   11.87,    6.55,    6.56,   15.42,    8.12,   11.46,    5.21,    3.61,    2.88,    2.29,    8.09,    5.89,    5.41,    4.19
32.89941,13.20261,2015,01,08,    6.75,   12.37,    7.63,    7.64,   16.62,    9.87,   12.70,    2.97,    2.43,    2.11,    1.70,    5.07,    4.14,    3.34,    2.71
32.89941,13.20261,2015,01,09,    5.63,   12.87,    8.85,    8.85,   16.01,   10.38,   12.64,    3.01,    2.86,    4.17,    3.20,    7.18,    6.06,    5.87,    4.57
32.89941,13.20261,2015,01,10,    5.13,   13.14,    8.27,    8.27,   15.64,   10.51,   12.44,    2.19,    3.30,    7.32,    5.05,    9.51,    8.35,    8.62,    6.74
32.89941,13.20261,2015,01,11,    7.80,   13.12,    5.75,    5.77,   16.95,    9.15,   12.49,    3.13,    2.81,    7.34,    4.95,   10.47,    7.76,    8.52,    6.52
32.89941,13.20261,2015,01,12,    6.56,   13.50,    9.78,    9.79,   16.49,    9.92,   13.28,    5.30,    4.09,    5.10,    3.61,   10.40,    7.70,    8.15,    6.25
32.89941,13.20261,2015,01,13,    5.83,   13.68,   10.02,   10.02,   16.61,   10.78,   13.50,    5.46,    3.76,    0.50,    0.53,    5.96,    4.28,    3.34,    2.66
32.89941,13.20261,2015,01,14,    7.47,   12.80,    7.30,    7.31,   16.59,    9.12,   12.26,    2.01,    2.94,    6.50,    4.51,    8.52,    7.45,    7.52,    5.61
32.89941,13.20261,2015,01,15,    8.70,   13.23,    6.34,    6.35,   18.09,    9.39,   13.32,    7.18,    5.10,    0.71,    0.48,    7.89,    5.58,    4.88,    3.71
32.89941,13.20261,2015,01,16,    9.14,   14.69,    7.52,    7.53,   20.30,   11.16,   14.92,    8.95,    6.59,    1.20,    0.69,   10.15,    7.28,    6.13,    4.35
32.89941,13.20261,2015,01,17,    5.93,   13.91,    5.68,    5.70,   17.19,   11.26,   13.90,    6.04,    4.42,    3.99,    2.77,   10.03,    7.19,    7.07,    5.17
32.89941,13.20261,2015,01,18,    9.69,   14.71,    5.67,    5.69,   20.56,   10.86,   14.65,    3.01,    1.88,    6.51,    5.44,    9.52,    7.32,    8.39,    6.14
32.89941,13.20261,2015,01,19,    8.50,   13.39,    5.16,    5.17,   17.37,    8.87,   12.67,    6.33,    4.09,    1.40,    1.10,    7.73,    5.19,    5.05,    3.69
32.89941,13.20261,2015,01,20,    6.34,   13.52,    8.02,    8.03,   17.50,   11.16,   13.42,    6.72,    5.90,    1.45,    1.21,    8.17,    7.11,    5.98,    4.65
32.89941,13.20261,2015,01,21,    8.61,   13.33,    5.98,    6.00,   18.52,    9.91,   13.44,    8.06,    5.51,    0.74,    0.84,    8.79,    6.34,    3.61,    2.71
